"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2023","9.9110","9.4910","10.0110","9.3290","6.27M","4.40%"
"11/25/2023","9.4930","8.9070","9.6520","8.8650","2.64M","6.57%"
"11/24/2023","8.9080","8.7510","9.0840","8.7150","2.64M","1.90%"
"11/23/2023","8.7420","8.8130","9.0770","8.6620","1.89M","-0.72%"
"11/22/2023","8.8050","8.1900","8.9180","8.1900","2.92M","7.25%"
"11/21/2023","8.2100","8.9630","9.0750","8.2100","4.42M","-8.46%"
"11/20/2023","8.9690","9.3640","9.5450","8.9240","3.40M","-4.20%"
"11/19/2023","9.3620","9.2180","9.3960","8.9680","2.34M","1.44%"
"11/18/2023","9.2290","9.3900","9.4090","8.8770","3.55M","-1.81%"
"11/17/2023","9.3990","9.6090","10.2090","9.0590","4.04M","-2.07%"
"11/16/2023","9.5980","9.6630","10.1880","9.4620","5.72M","-0.64%"
"11/15/2023","9.6600","9.1180","9.7860","8.9510","5.05M","5.93%"
"11/14/2023","9.1190","9.1980","9.4000","8.7480","6.03M","-0.58%"
"11/13/2023","9.1720","9.5270","10.5150","9.1720","7.32M","-3.72%"
"11/12/2023","9.5260","9.2400","9.7000","8.9160","3.56M","3.04%"
"11/11/2023","9.2450","9.1790","9.4480","8.8780","3.03M","0.69%"
"11/10/2023","9.1820","9.0280","9.5020","8.9370","5.67M","1.74%"
"11/09/2023","9.0250","8.6470","9.0510","8.2070","5.74M","4.25%"
"11/08/2023","8.6570","8.4640","8.7540","8.3680","2.45M","2.24%"
"11/07/2023","8.4670","8.7350","8.7350","8.1690","3.17M","-3.10%"
"11/06/2023","8.7380","8.3600","8.7590","8.3070","3.41M","4.51%"
"11/05/2023","8.3610","8.1030","8.5330","8.0490","4.60M","3.23%"
"11/04/2023","8.0990","7.7430","8.2170","7.7040","3.69M","4.48%"
"11/03/2023","7.7520","7.8320","7.8320","7.5460","3.31M","-0.98%"
"11/02/2023","7.8290","7.9030","8.0940","7.5730","4.62M","-0.57%"
"11/01/2023","7.8740","7.9250","8.0210","7.5520","4.65M","-0.72%"
"10/31/2023","7.9310","8.0850","8.2270","7.6790","5.84M","-2.23%"
"10/30/2023","8.1120","7.3190","8.1380","7.2120","4.19M","10.91%"
"10/29/2023","7.3140","7.1750","7.3900","7.0460","1.29M","1.82%"
"10/28/2023","7.1830","7.0230","7.2210","7.0220","1.03M","2.23%"
"10/27/2023","7.0260","7.1680","7.1700","6.9200","1.49M","-1.97%"
