rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,5,0.15,-34.26117200605894,32.12960084731099,25.957125,-1.0663,-1.3199,87.87,-0.3726,0.7798,501.6245130610784,643.2917401654968,45
0.4,6,0.01,-24.85089338232819,11.010714611031327,8.561009,-2.257,-2.9028,69.43,-0.3238,0.6447,186.46493904289466,289.22141088569606,46
0.4,6,0.02,-25.33561380854175,12.047009733964005,9.308477,-2.1031,-2.7218,70.49,-0.3256,0.6656,208.49072058504626,313.25147292036576,47
0.4,6,0.03,-26.18165652848379,13.250232989606078,10.109834,-1.9759,-2.5897,71.97,-0.3295,0.6819,232.0272698567818,340.286341692814,48
0.4,6,0.04,-28.633250193533357,15.043061307054922,11.797158,-1.9034,-2.4271,75.09,-0.343,0.6837,255.96122482720594,374.35744189729223,49
0.4,6,0.05,-30.499010604678478,16.07387335774552,12.943717,-1.8974,-2.3563,76.91,-0.3544,0.6879,277.9690809821932,404.08006927614156,50
0.4,6,0.06,-32.725285001477715,18.04471868188449,14.842825,-1.8136,-2.2048,79.37,-0.3668,0.6965,310.59713795265833,445.91359418892733,51
0.4,6,0.07,-34.667410337021956,19.361926229345,15.913861,-1.7905,-2.1784,81.11,-0.3779,0.7031,339.3874434412731,482.734433803086,52
0.4,6,0.08,-33.809599993312524,20.853609649753956,16.931894,-1.6213,-1.9968,80.69,-0.375,0.728,374.13397816840256,513.933990839163,53
0.4,6,0.09,-31.325027898004198,22.019693116997786,17.705029,-1.4226,-1.7693,79.26,-0.3619,0.7553,399.69463775122654,529.2211419961486,54
0.4,6,0.1,-31.307743825574878,23.579737018013123,18.770458,-1.3277,-1.6679,80.74,-0.3583,0.766,423.7418216941462,553.1968576713249,55
0.4,6,0.11,-31.111104890674902,25.45636011771527,20.421999,-1.2221,-1.5234,81.17,-0.359,0.7795,454.8215018184016,583.4634514060336,56
0.4,6,0.12,-34.04657586262119,26.479222937005964,21.370899,-1.2858,-1.5931,83.93,-0.374,0.7668,463.00456062999694,603.7844497127401,57
0.4,6,0.13,-33.40789503328312,27.873289529463364,22.873112,-1.1986,-1.4606,84.58,-0.3695,0.7722,468.1417020207702,606.2806965631552,58
0.4,6,0.14,-32.0107594385415,29.740694196497124,24.322269,-1.0763,-1.3161,85.03,-0.361,0.7877,491.0848472598946,623.4467970018004,59
0.4,6,0.15,-24.171330942962587,30.487919993519608,24.430517,-0.7928,-0.9894,81.16,-0.3105,0.8362,510.2043511343123,610.1508862238638,60
0.4,7,0.01,-30.189673051667594,10.79246740593415,8.818013,-2.7973,-3.4236,74.49,-0.3558,0.5873,177.62358433167515,302.45548639452284,61
0.4,7,0.02,-31.344974595949658,11.711384268191214,9.502784,-2.6765,-3.2985,75.99,-0.3609,0.6031,196.9146368744742,326.52361913232954,62
0.4,7,0.03,-33.24665273461635,12.82332892920455,10.421784,-2.5927,-3.1901,78.08,-0.37,0.6107,215.67395900558614,353.1462294399918,63
0.4,7,0.04,-35.46343350915332,14.053916685654222,11.608252,-2.5234,-3.055,80.19,-0.3812,0.6154,234.59727558347643,381.23575858561037,64
0.4,7,0.05,-36.31012784350488,15.729021067607896,13.062087,-2.3085,-2.7798,81.28,-0.3855,0.6352,261.3991084227051,411.53860529941977,65
0.4,7,0.06,-38.711290583811184,17.28451571178567,14.620554,-2.2397,-2.6477,83.58,-0.3966,0.6387,282.9872619643564,443.0553762037661,66
0.4,7,0.07,-41.684257830076774,18.36102958243554,15.451756,-2.2703,-2.6977,85.31,-0.413,0.6399,306.2563687492336,478.6174666021701,67
0.4,7,0.08,-42.62081316992098,19.905425059815364,16.607607,-2.1412,-2.5663,86.08,-0.4186,0.6582,339.4316500526764,515.6653299060798,68
0.4,7,0.09,-42.8008748089523,21.425395271308496,17.906431,-1.9977,-2.3903,86.57,-0.42,0.672,362.65283155465767,539.6310519948493,69
0.4,7,0.1,-45.32430198916416,22.823518563853522,19.09283,-1.9859,-2.3739,87.87,-0.4341,0.677,392.7603119835382,580.1727035419075,70
0.4,7,0.11,-40.91396208321759,24.210785844651866,20.203384,-1.6899,-2.0251,85.91,-0.4141,0.7089,411.9978221350051,581.1738082092619,71
0.4,7,0.12,-41.31932873619103,25.898439205289346,21.84968,-1.5954,-1.8911,86.34,-0.4185,0.7178,434.606548635966,605.4586936483115,72
0.4,7,0.13,-38.50205340203592,27.55042123572094,23.2311,-1.3975,-1.6573,85.06,-0.407,0.7432,460.86523986499833,620.068174963893,73
0.4,7,0.14,-41.722832013415534,28.30307768104844,24.02995,-1.4741,-1.7363,88.27,-0.4173,0.728,461.81542407659293,634.3360231161921,74
0.4,7,0.15,-40.41908787123349,29.935559004367846,25.404746,-1.3502,-1.591,87.63,-0.4148,0.7428,482.7617726629983,649.8914931464321,75
0.4,8,0.01,-31.396089317224664,10.963029893735127,8.746155,-2.8638,-3.5897,76.18,-0.3596,0.5703,172.30461124827139,302.124948821875,76
0.4,8,0.02,-32.10341567542652,12.073622976239694,9.482618,-2.659,-3.3855,77.04,-0.3634,0.5914,192.15136190301143,324.89643783076707,77
0.4,8,0.03,-33.809157905756074,12.901282862039281,10.303538,-2.6206,-3.2813,78.75,-0.372,0.5986,208.48913935643284,348.2873240302338,78
0.4,8,0.04,-36.57404502398187,13.992522879964685,11.683583,-2.6138,-3.1304,81.22,-0.3858,0.5975,224.47353922457526,375.70431269675424,79
0.4,8,0.05,-38.24244704262718,15.461512394071796,13.012015,-2.4734,-2.939,82.73,-0.3943,0.6083,245.57264437529415,403.7021277817129,80
